Name,Distance,Mass,Radius
2MASS J18432213+4040209,46,96.0,1.22
2MASS J20004841-7523070,105,25.0,1.88
SDSS J204749.61-071818.3,65,46.0,0.96
2MASSI J2057540-025230,47,70.0,1.02
2MASSI J2104149-103736,62,69.0,1.02
HB 2124-4228,113,94.0,1.21
2MASS J21392676+0220226,32.1,46.0,0.96
2MASS J21481628+4003593,26.3,55.0,0.99
2MASSW J2206450-421721,93,22.0,1.33
2MASSW J2208136+292121,154,27.0,1.41
2MASSW J2224438-015852,38,61.0,0.99
2MASS J22282889-4310262,35,42.0,0.94
2MASS J22373255+3922398,64,73.0,1.04
2MASSW J2244316+204343,56,12.0,1.29
2MASS J23224684-3133231,56,24.0,1.39
2MASS J23225299-6151275,148,17.0,1.59
2MASS J23515044-2537367,67,88.0,1.16
2MASSI J2356547-155310,74,80.0,1.09
WISE 0410+1502,20,6.0,1.17
WISE 0458+6434A,35.9,15.0,4.2
WISE 0458+6434B,35.9,10.0,3.8
WISE 1405+5534,25.3,30.0,0.86
